DB00001,Lepirudin
DB00002,Cetuximab
DB00003,Dornase alfa
DB00004,Denileukin diftitox
DB00005,Etanercept
DB00006,Bivalirudin
DB00007,Leuprolide
DB00008,Peginterferon alfa-2a
DB00009,Alteplase
DB00010,Sermorelin
DB00011,Interferon alfa-n1
DB00012,Darbepoetin alfa
DB00013,Urokinase
DB00014,Goserelin
DB00015,Reteplase
DB00016,Epoetin alfa
DB00017,Salmon Calcitonin
DB00018,Interferon alfa-n3
DB00019,Pegfilgrastim
DB00020,Sargramostim
DB00021,Secretin
DB00022,Peginterferon alfa-2b
DB00023,Asparaginase
DB00024,Thyrotropin Alfa
DB00025,Antihemophilic Factor
DB00026,Anakinra
DB00027,Gramicidin D
DB00028,Intravenous Immunoglobulin
DB00029,Anistreplase
DB00030,Insulin Regular
DB00031,Tenecteplase
DB00032,Menotropins
DB00033,Interferon gamma-1b
DB00034,"Interferon Alfa-2a, Recombinant"
DB00035,Desmopressin
DB00036,Coagulation factor VIIa
DB00038,Oprelvekin
DB00039,Palifermin
DB00040,Glucagon recombinant
DB00041,Aldesleukin
DB00042,Botulinum Toxin Type B
DB00043,Omalizumab
DB00044,Lutropin alfa
DB00045,OspA lipoprotein
DB00046,Insulin Lispro
DB00047,Insulin Glargine
DB00048,Collagenase
DB00049,Rasburicase
DB00050,Cetrorelix
DB00051,Adalimumab
DB00052,Somatropin recombinant
DB00053,Imiglucerase
DB00054,Abciximab
DB00055,Drotrecogin alfa
DB00056,Gemtuzumab ozogamicin
DB00057,Satumomab Pendetide
DB00058,Alpha-1-proteinase inhibitor
DB00059,Pegaspargase
DB00060,Interferon beta-1a
DB00061,Pegademase bovine
DB00062,Human Serum Albumin
DB00063,Eptifibatide
DB00064,Serum albumin iodonated
DB00065,Infliximab
DB00066,Follitropin beta
DB00067,Vasopressin
DB00068,Interferon beta-1b
DB00069,Interferon alfacon-1
DB00070,Hyaluronidase
DB00071,"Insulin, porcine"
DB00072,Trastuzumab
DB00073,Rituximab
DB00074,Basiliximab
DB00075,Muromonab
DB00076,Digoxin Immune Fab (Ovine)
DB00078,Ibritumomab
DB00080,Daptomycin
DB00081,Tositumomab
DB00082,Pegvisomant
DB00083,Botulinum Toxin Type A
DB00085,Pancrelipase
DB00086,Streptokinase
DB00087,Alemtuzumab
DB00088,Alglucerase
DB00089,Capromab
DB00090,Laronidase
DB00091,Cyclosporine
DB00092,Alefacept
DB00093,Felypressin
DB00094,Urofollitropin
DB00095,Efalizumab
DB00096,Serum albumin
DB00097,Choriogonadotropin alfa
DB00098,Antithymocyte globulin
DB00099,Filgrastim
DB00100,Coagulation Factor IX
DB00102,Becaplermin
DB00103,Agalsidase beta
DB00104,Octreotide
DB00105,"Interferon Alfa-2b, Recombinant"
DB00106,Abarelix
DB00107,Oxytocin
DB00108,Natalizumab
DB00109,Enfuvirtide
DB00110,Palivizumab
DB00111,Daclizumab
DB00112,Bevacizumab
DB00113,Arcitumomab
DB00115,Cyanocobalamin
DB00116,Tetrahydrofolic acid
DB00117,L-Histidine
DB00118,S-Adenosylmethionine
DB00119,Pyruvic acid
DB00120,L-Phenylalanine
DB00121,Biotin
DB00122,Choline
DB00123,L-Lysine
DB00125,L-Arginine
DB00126,Vitamin C
DB00127,Spermine
DB00128,L-Aspartic Acid
DB00129,L-Ornithine
DB00130,L-Glutamine
DB00131,Adenosine monophosphate
DB00132,Alpha-Linolenic Acid
DB00133,L-Serine
DB00134,L-Methionine
DB00135,L-Tyrosine
DB00136,Calcitriol
DB00137,Xanthophyll
DB00138,L-Cystine
DB00139,Succinic acid
DB00140,Riboflavin
DB00141,N-Acetyl-D-glucosamine
DB00143,Glutathione
DB00144,Phosphatidylserine
DB00145,Glycine
DB00146,Calcidiol
DB00147,Pyridoxal
DB00148,Creatine
DB00149,L-Leucine
DB00150,L-Tryptophan
DB00151,L-Cysteine
DB00152,Thiamine
DB00153,Ergocalciferol
DB00154,Dihomo-gamma-linolenic acid
DB00155,L-Citrulline
DB00156,L-Threonine
DB00158,Folic Acid
DB00159,Icosapent
DB00160,L-Alanine
DB00161,L-Valine
DB00162,Vitamin A
DB00163,Vitamin E
DB00165,Pyridoxine
DB00166,Lipoic Acid
DB00167,L-Isoleucine
DB00168,Aspartame
DB00169,Cholecalciferol
DB00170,Menadione
DB00171,Adenosine triphosphate
DB00172,L-Proline
DB00173,Adenine
DB00174,L-Asparagine
DB00175,Pravastatin
DB00176,Fluvoxamine
DB00177,Valsartan
DB00178,Ramipril
DB00179,Masoprocol
DB00180,Flunisolide
DB00181,Baclofen
DB00182,Amphetamine
DB00183,Pentagastrin
DB00184,Nicotine
DB00185,Cevimeline
DB00186,Lorazepam
DB00187,Esmolol
DB00188,Bortezomib
DB00189,Ethchlorvynol
DB00190,Carbidopa
DB00191,Phentermine
DB00192,Indecainide
DB00193,Tramadol
DB00194,Vidarabine
DB00195,Betaxolol
DB00196,Fluconazole
DB00198,Oseltamivir
DB00199,Erythromycin
DB00200,Hydroxocobalamin
DB00201,Caffeine
DB00202,Succinylcholine
DB00203,Sildenafil
DB00204,Dofetilide
DB00205,Pyrimethamine
DB00206,Reserpine
DB00207,Azithromycin
DB00208,Ticlopidine
DB00209,Trospium
DB00210,Adapalene
DB00211,Midodrine
DB00212,Remikiren
DB00213,Pantoprazole
DB00214,Torasemide
DB00215,Citalopram
DB00216,Eletriptan
DB00217,Bethanidine
DB00218,Moxifloxacin
DB00219,Oxyphenonium
DB00220,Nelfinavir
DB00221,Isoetarine
DB00222,Glimepiride
DB00223,Diflorasone
DB00224,Indinavir
DB00225,Gadodiamide
DB00226,Guanadrel
DB00227,Lovastatin
DB00228,Enflurane
DB00229,Cefotiam
DB00230,Pregabalin
DB00231,Temazepam
DB00232,Methyclothiazide
DB00233,Aminosalicylic Acid
DB00234,Reboxetine
DB00235,Milrinone
DB00236,Pipobroman
DB00237,Butabarbital
DB00238,Nevirapine
DB00239,Oxiconazole
DB00240,Alclometasone
DB00241,Butalbital
DB00242,Cladribine
DB00243,Ranolazine
DB00244,Mesalazine
DB00245,Benzatropine
DB00246,Ziprasidone
DB00247,Methysergide
DB00248,Cabergoline
DB00249,Idoxuridine
DB00250,Dapsone
DB00251,Terconazole
DB00252,Phenytoin
DB00253,Medrysone
DB00254,Doxycycline
DB00255,Diethylstilbestrol
DB00256,Lymecycline
DB00257,Clotrimazole
DB00258,Calcium Acetate
DB00259,Sulfanilamide
DB00260,Cycloserine
DB00261,Anagrelide
DB00262,Carmustine
DB00263,Sulfisoxazole
DB00264,Metoprolol
DB00265,Crotamiton
DB00266,Dicoumarol
DB00267,Cefmenoxime
DB00268,Ropinirole
DB00270,Isradipine
DB00271,Diatrizoate
DB00272,Betazole
DB00273,Topiramate
DB00274,Cefmetazole
DB00275,Olmesartan
DB00276,Amsacrine
DB00277,Theophylline
DB00278,Argatroban
DB00279,Liothyronine
DB00280,Disopyramide
DB00281,Lidocaine
DB00282,Pamidronate
DB00283,Clemastine
DB00284,Acarbose
DB00285,Venlafaxine
DB00286,Conjugated Estrogens
DB00287,Travoprost
DB00288,Amcinonide
DB00289,Atomoxetine
DB00290,Bleomycin
DB00291,Chlorambucil
DB00292,Etomidate
DB00293,Raltitrexed
DB00294,Etonogestrel
DB00295,Morphine
DB00296,Ropivacaine
DB00297,Bupivacaine
DB00298,Dapiprazole
DB00299,Penciclovir
DB00300,Tenofovir
DB00301,Flucloxacillin
DB00302,Tranexamic Acid
DB00303,Ertapenem
DB00304,Desogestrel
DB00305,Mitomycin
DB00306,Talbutal
DB00307,Bexarotene
DB00308,Ibutilide
DB00309,Vindesine
DB00310,Chlorthalidone
DB00312,Pentobarbital
DB00313,Valproic Acid
DB00314,Capreomycin
DB00315,Zolmitriptan
DB00316,Acetaminophen
DB00317,Gefitinib
DB00318,Codeine
DB00319,Piperacillin
DB00320,Dihydroergotamine
DB00321,Amitriptyline
DB00322,Floxuridine
DB00323,Tolcapone
DB00324,Fluorometholone
DB00325,Nitroprusside
DB00326,Calcium Gluceptate
DB00327,Hydromorphone
DB00328,Indomethacin
DB00330,Ethambutol
DB00331,Metformin
DB00332,Ipratropium bromide
DB00333,Methadone
DB00334,Olanzapine
DB00335,Atenolol
DB00336,Nitrofural
DB00337,Pimecrolimus
DB00338,Omeprazole
DB00339,Pyrazinamide
DB00340,Metixene
DB00341,Cetirizine
DB00343,Diltiazem
DB00344,Protriptyline
DB00345,Aminohippurate
DB00346,Alfuzosin
DB00347,Trimethadione
DB00348,Nitisinone
DB00349,Clobazam
DB00350,Minoxidil
DB00351,Megestrol acetate
DB00352,Tioguanine
DB00353,Methylergometrine
DB00354,Buclizine
DB00355,Aztreonam
DB00356,Chlorzoxazone
DB00357,Aminoglutethimide
DB00358,Mefloquine
DB00359,Sulfadiazine
DB00360,Tetrahydrobiopterin
DB00361,Vinorelbine
DB00362,Anidulafungin
DB00363,Clozapine
DB00364,Sucralfate
DB00366,Doxylamine
DB00367,Levonorgestrel
DB00368,Norepinephrine
DB00369,Cidofovir
DB00370,Mirtazapine
DB00371,Meprobamate
DB00373,Timolol
DB00374,Treprostinil
DB00375,Colestipol
DB00376,Trihexyphenidyl
DB00377,Palonosetron
DB00378,Dydrogesterone
DB00379,Mexiletine
DB00380,Dexrazoxane
DB00381,Amlodipine
DB00383,Oxyphencyclimine
DB00384,Triamterene
DB00385,Valrubicin
DB00387,Procyclidine
DB00388,Phenylephrine
DB00389,Carbimazole
DB00390,Digoxin
DB00391,Sulpiride
DB00392,Ethopropazine
DB00393,Nimodipine
DB00394,Beclomethasone
DB00395,Carisoprodol
DB00396,Progesterone
DB00397,Phenylpropanolamine
DB00398,Sorafenib
DB00399,Zoledronate
DB00400,Griseofulvin
DB00401,Nisoldipine
DB00402,Eszopiclone
DB00403,Ceruletide
DB00404,Alprazolam
DB00405,Dexbrompheniramine
DB00406,Gentian Violet
DB00407,Ardeparin
DB00408,Loxapine
DB00409,Remoxipride
DB00410,Mupirocin
DB00411,Carbachol
DB00412,Rosiglitazone
DB00413,Pramipexole
DB00415,Ampicillin
DB00417,Penicillin V
DB00418,Secobarbital
DB00419,Miglustat
DB00420,Promazine
DB00421,Spironolactone
DB00422,Methylphenidate
DB00423,Methocarbamol
DB00424,Hyoscyamine
DB00425,Zolpidem
DB00426,Famciclovir
DB00427,Triprolidine
DB00428,Streptozocin
DB00429,Carboprost Tromethamine
DB00430,Cefpiramide
DB00431,Lindane
DB00432,Trifluridine
DB00433,Prochlorperazine
DB00434,Cyproheptadine
DB00435,Nitric Oxide
DB00436,Bendroflumethiazide
DB00437,Allopurinol
DB00438,Ceftazidime
DB00440,Trimethoprim
DB00441,Gemcitabine
DB00442,Entecavir
DB00443,Betamethasone
DB00444,Teniposide
DB00445,Epirubicin
DB00446,Chloramphenicol
DB00448,Lansoprazole
DB00449,Dipivefrin
DB00450,Droperidol
DB00451,Levothyroxine
DB00452,Framycetin
DB00453,Clomocycline
DB00454,Pethidine
DB00455,Loratadine
DB00456,Cefalotin
DB00457,Prazosin
DB00458,Imipramine
DB00459,Acitretin
DB00460,Verteporfin
DB00461,Nabumetone
DB00462,Methylscopolamine bromide
DB00464,Sodium Tetradecyl Sulfate
DB00465,Ketorolac
DB00467,Enoxacin
DB00468,Quinine
DB00469,Tenoxicam
DB00470,Dronabinol
DB00471,Montelukast
DB00472,Fluoxetine
DB00473,Hexylcaine
DB00474,Methohexital
DB00475,Chlordiazepoxide
DB00476,Duloxetine
DB00477,Chlorpromazine
DB00478,Rimantadine
DB00479,Amikacin
DB00480,Lenalidomide
DB00481,Raloxifene
DB00482,Celecoxib
DB00483,Gallamine Triethiodide
DB00484,Brimonidine
DB00485,Dicloxacillin
DB00486,Nabilone
DB00487,Pefloxacin
DB00488,Altretamine
DB00489,Sotalol
DB00490,Buspirone
DB00491,Miglitol
DB00492,Fosinopril
DB00493,Cefotaxime
DB00494,Entacapone
DB00495,Zidovudine
DB00496,Darifenacin
DB00497,Oxycodone
DB00498,Phenindione
DB00499,Flutamide
DB00500,Tolmetin
DB00501,Cimetidine
DB00502,Haloperidol
DB00503,Ritonavir
DB00504,Levallorphan
DB00507,Nitazoxanide
DB00508,Triflupromazine
DB00509,Dextrothyroxine
DB00511,Acetyldigitoxin
DB00512,Vancomycin
DB00513,Aminocaproic Acid
DB00514,Dextromethorphan
DB00515,Cisplatin
DB00516,Bentoquatam
DB00517,Anisotropine Methylbromide
DB00518,Albendazole
DB00519,Trandolapril
DB00520,Caspofungin
DB00521,Carteolol
DB00523,Alitretinoin
DB00524,Metolazone
DB00525,Tolnaftate
DB00526,Oxaliplatin
DB00527,Cinchocaine
DB00528,Lercanidipine
DB00529,Foscarnet
DB00530,Erlotinib
DB00531,Cyclophosphamide
DB00534,Chlormerodrin
DB00535,Cefdinir
DB00536,Guanidine
DB00537,Ciprofloxacin
DB00538,Gadoversetamide
DB00539,Toremifene
DB00540,Nortriptyline
DB00541,Vincristine
DB00542,Benazepril
DB00543,Amoxapine
DB00544,Fluorouracil
DB00545,Pyridostigmine
DB00546,Adinazolam
DB00547,Desoximetasone
DB00548,Azelaic Acid
DB00549,Zafirlukast
DB00550,Propylthiouracil
DB00551,Acetohydroxamic Acid
DB00552,Pentostatin
DB00553,Methoxsalen
DB00554,Piroxicam
DB00555,Lamotrigine
DB00556,Perflutren
DB00557,Hydroxyzine
DB00558,Zanamivir
DB00559,Bosentan
DB00560,Tigecycline
DB00561,Doxapram
DB00562,Benzthiazide
DB00563,Methotrexate
DB00564,Carbamazepine
DB00565,Cisatracurium Besylate
DB00566,Succimer
DB00567,Cephalexin
DB00568,Cinnarizine
DB00569,Fondaparinux sodium
DB00570,Vinblastine
DB00571,Propranolol
DB00572,Atropine
DB00573,Fenoprofen
DB00575,Clonidine
DB00576,Sulfamethizole
DB00577,Valaciclovir
DB00578,Carbenicillin
DB00579,Mazindol
DB00581,Lactulose
DB00582,Voriconazole
DB00583,L-Carnitine
DB00584,Enalapril
DB00585,Nizatidine
DB00586,Diclofenac
DB00587,Cinalukast
DB00588,Fluticasone Propionate
DB00589,Lisuride
DB00590,Doxazosin
DB00591,Fluocinolone Acetonide
DB00592,Piperazine
DB00593,Ethosuximide
DB00594,Amiloride
