Denileukin diftitox,Aldesleukin,1
Darbepoetin alfa,Erythropoietin,1
Salmon calcitonin,Pramlintide,1
Asparaginase Escherichia coli,Pegaspargase,1
Desmopressin,Terlipressin,1
Imiglucerase,Alglucerase,1
Abciximab,Tirofiban,1
Alpha-1-proteinase inhibitor,Filgrastim,1
Pentagastrin,Cholecystokinin,1
Bortezomib,Carfilzomib,1
Oseltamivir,Zanamivir,1
Acarbose,Miglitol,1
Travoprost,Tafluprost,1
Triamterene,Amiloride,1
Carbimazole,Propylthiouracil,1
Miglustat,Eliglustat,1
Allopurinol,Febuxostat,1
Albendazole,Mebendazole,1
Ethionamide,Isoniazid,1
Aprepitant,Rolapitant,1
Ribavirin,Mycophenolic acid,1
Rosoxacin,Delafloxacin,1
Ceforanide,Cefamandole,1
Chlormezanone,Zopiclone,1
Abatacept,Belatacept,1
Belinostat,Panobinostat,1
Ustekinumab,Tildrakizumab,1
Simeprevir,Glecaprevir,1
Reslizumab,Mepolizumab,1
Lanreotide,Somatostatin,1
Vismodegib,Sonidegib,1
Idelalisib,Fostamatinib,1
Idelalisib,Copanlisib,1
Asfotase alfa,Ozanimod,1
Durvalumab,Avelumab,1
Plerixafor,Ibalizumab,1
Catumaxomab,Sarilumab,1
Maraviroc,Ibalizumab,1
Pegfilgrastim,Lenograstim,1
Pegfilgrastim,Lipegfilgrastim,1
Lenograstim,Lipegfilgrastim,1
Follitropin,Urofollitropin,1
Follitropin,Corifollitropin alfa,1
Urofollitropin,Corifollitropin alfa,1
Azithromycin,Linezolid,1
Azithromycin,Telithromycin,1
Azithromycin,Tedizolid,1
Linezolid,Telithromycin,1
Linezolid,Tedizolid,1
Telithromycin,Tedizolid,1
Pantoprazole,Lansoprazole,1
Pantoprazole,Rabeprazole,1
Pantoprazole,Dexlansoprazole,1
Lansoprazole,Rabeprazole,1
Lansoprazole,Dexlansoprazole,1
Rabeprazole,Dexlansoprazole,1
Terconazole,Voriconazole,1
Terconazole,Posaconazole,1
Terconazole,Bifonazole,1
Voriconazole,Posaconazole,1
Voriconazole,Bifonazole,1
Posaconazole,Bifonazole,1
Vindesine,Paclitaxel,1
Paclitaxel,Venetoclax,1
Tolcapone,Entacapone,1
Tolcapone,Opicapone,1
Entacapone,Opicapone,1
Nitroprusside,Isosorbide dinitrate,1
Nitroprusside,Amyl Nitrite,1
Nitroprusside,Erythrityl tetranitrate,1
Isosorbide dinitrate,Amyl Nitrite,1
Isosorbide dinitrate,Erythrityl tetranitrate,1
Amyl Nitrite,Erythrityl tetranitrate,1
Aminoglutethimide,Exemestane,1
Aminoglutethimide,Letrozole,1
Aminoglutethimide,Anastrozole,1
Exemestane,Letrozole,1
Exemestane,Anastrozole,1
Letrozole,Anastrozole,1
Sulfadiazine,Sulfametopyrazine,1
Sulfadiazine,Sulfoxone,1
Sulfadiazine,Sulfathiazole,1
Sulfametopyrazine,Sulfoxone,1
Sulfametopyrazine,Sulfathiazole,1
Sulfoxone,Sulfathiazole,1
Vinorelbine,Vincristine,1
Vinorelbine,Vinflunine,1
Vincristine,Vinflunine,1
Anidulafungin,Caspofungin,1
Anidulafungin,Micafungin,1
Caspofungin,Micafungin,1
Bosentan,Sitaxentan,1
Bosentan,Ambrisentan,1
Bosentan,Macitentan,1
Sitaxentan,Ambrisentan,1
Sitaxentan,Macitentan,1
Ambrisentan,Macitentan,1
Demeclocycline,Conivaptan,1
Demeclocycline,Tolvaptan,1
Demeclocycline,Atosiban,1
Conivaptan,Tolvaptan,1
Conivaptan,Atosiban,1
Tolvaptan,Atosiban,1
Irinotecan,Topotecan,1
Irinotecan,Sodium stibogluconate,1
Topotecan,Sodium stibogluconate,1
Roxithromycin,Clarithromycin,1
Roxithromycin,Lincomycin,1
Clarithromycin,Lincomycin,1
Isosorbide mononitrate,Riociguat,1
Isosorbide mononitrate,Molsidomine,1
Isosorbide mononitrate,Plecanatide,1
Riociguat,Molsidomine,1
Riociguat,Plecanatide,1
Molsidomine,Plecanatide,1
Dapagliflozin,Canagliflozin,1
Dapagliflozin,Empagliflozin,1
Dapagliflozin,Ertugliflozin,1
Canagliflozin,Empagliflozin,1
Canagliflozin,Ertugliflozin,1
Empagliflozin,Ertugliflozin,1
Olaparib,Talazoparib,1
Olaparib,Niraparib,1
Olaparib,Rucaparib,1
Talazoparib,Niraparib,1
Talazoparib,Rucaparib,1
Niraparib,Rucaparib,1
Tocilizumab,Sarilumab,1
Reteplase,Anistreplase,1
Reteplase,Streptokinase,1
Anistreplase,Streptokinase,1
Histrelin,Triptorelin,1
Insulin detemir,Insulin glulisine,1
Paricalcitol,Dihydrotachysterol,1
Paricalcitol,Alfacalcidol,1
Dihydrotachysterol,Alfacalcidol,1
Protein C,Anti-inhibitor coagulant complex,1
Prasugrel,Cangrelor,1
Prasugrel,Ticagrelor,1
Cangrelor,Ticagrelor,1
Warfarin,Phenprocoumon,1
Warfarin,Acenocoumarol,1
Phenprocoumon,Acenocoumarol,1
Famciclovir,Foscarnet,1
Famciclovir,Valaciclovir,1
Famciclovir,Ganciclovir,1
Valaciclovir,Ganciclovir,1
Velpatasvir,Pibrentasvir,1
Abemaciclib,Fostamatinib,1
Epoprostenol,Selexipag,1
Levamisole,Varenicline,1
Porfimer sodium,Sarilumab,1
Alteplase,Urokinase,1
Alteplase,Reteplase,1
Alteplase,Anistreplase,1
Alteplase,Streptokinase,1
Urokinase,Reteplase,1
Urokinase,Anistreplase,1
Urokinase,Streptokinase,1
Goserelin,Lutropin alfa,1
Goserelin,Gonadorelin,1
Goserelin,Nafarelin,1
Goserelin,Histrelin,1
Goserelin,Triptorelin,1
Gonadorelin,Nafarelin,1
Gonadorelin,Histrelin,1
Gonadorelin,Triptorelin,1
Nafarelin,Histrelin,1
Nafarelin,Triptorelin,1
Insulin human,Insulin lispro,1
Insulin human,Insulin glargine,1
Insulin human,Insulin aspart,1
Insulin human,Insulin detemir,1
Insulin human,Insulin glulisine,1
Insulin lispro,Insulin glargine,1
Insulin lispro,Insulin aspart,1
Insulin lispro,Insulin detemir,1
Insulin lispro,Insulin glulisine,1
Insulin glargine,Insulin aspart,1
Insulin glargine,Insulin detemir,1
Insulin glargine,Insulin glulisine,1
Insulin aspart,Insulin detemir,1
Insulin aspart,Insulin glulisine,1
Calcifediol,Ergocalciferol,1
Calcifediol,Paricalcitol,1
Calcifediol,Dihydrotachysterol,1
Calcifediol,Alfacalcidol,1
Ergocalciferol,Paricalcitol,1
Ergocalciferol,Dihydrotachysterol,1
Ergocalciferol,Alfacalcidol,1
Menadione,Phylloquinone,1
Menadione,Anti-inhibitor coagulant complex,1
Menadione,Antihemophilic factor human,1
Antihemophilic factor human,Emicizumab,1
"Antihemophilic factor, human recombinant",Anti-inhibitor coagulant complex,1
"Antihemophilic factor, human recombinant",Antihemophilic factor human,1
"Antihemophilic factor, human recombinant",Emicizumab,1
Anti-inhibitor coagulant complex,Antihemophilic factor human,1
Anti-inhibitor coagulant complex,Emicizumab,1
Ticlopidine,Clopidogrel,1
Ticlopidine,Prasugrel,1
Ticlopidine,Cangrelor,1
Ticlopidine,Ticagrelor,1
Clopidogrel,Prasugrel,1
Clopidogrel,Cangrelor,1
Clopidogrel,Ticagrelor,1
Dicoumarol,Phenindione,1
Dicoumarol,Warfarin,1
Dicoumarol,Phenprocoumon,1
Dicoumarol,Acenocoumarol,1
Phenindione,Warfarin,1
Phenindione,Phenprocoumon,1
