11607,Lepirudin
11608,Cetuximab
11609,DornaseAlfa
11610,Denileukindiftitox
11611,Etanercept
11612,Bivalirudin
11613,Leuprolide
11614,Peginterferonalfa-2a
11615,Alteplase
11616,Sermorelin
11617,Interferonalfa-n1
11618,Darbepoetinalfa
11619,Urokinase
11620,Goserelin
11621,Reteplase
11622,Epoetinalfa
11623,SalmonCalcitonin
11624,Interferonalfa-n3
11625,Pegfilgrastim
11626,Sargramostim
11627,Secretin
11628,Peginterferonalfa-2b
11629,Asparaginase
11630,ThyrotropinAlfa
11631,AntihemophilicFactor
11632,Anakinra
11633,GramicidinD
11634,IntravenousImmunoglobulin
11635,Anistreplase
11636,InsulinRegular
11637,Tenecteplase
11638,Menotropins
11639,Interferongamma-1b
11640,"InterferonAlfa-2a,Recombinant"
11641,Desmopressin
11642,CoagulationfactorVIIa
11643,Oprelvekin
11644,Palifermin
11645,Glucagonrecombinant
11646,Aldesleukin
11647,BotulinumToxinTypeB
11648,Omalizumab
11649,Lutropinalfa
11650,OspAlipoprotein
11651,InsulinLispro
11652,InsulinGlargine
11653,Collagenase
11654,Rasburicase
11655,Cetrorelix
11656,Adalimumab
11657,Somatropinrecombinant
11658,Imiglucerase
11659,Abciximab
11660,Drotrecoginalfa
11661,Gemtuzumabozogamicin
11662,SatumomabPendetide
11663,Alpha-1-proteinaseinhibitor
11664,Pegaspargase
11665,Interferonbeta-1a
11666,Pegademasebovine
11667,HumanSerumAlbumin
11668,Eptifibatide
11669,Serumalbuminiodonated
11670,Infliximab
11671,Follitropinbeta
11672,Vasopressin
11673,Interferonbeta-1b
11674,Interferonalfacon-1
11675,Hyaluronidase
11676,"Insulin,porcine"
11677,Trastuzumab
11678,Rituximab
11679,Basiliximab
11680,Muromonab
11681,DigoxinImmuneFab
11682,Ibritumomab
11683,Daptomycin
11684,Tositumomab
11685,Pegvisomant
11686,BotulinumToxinTypeA
11687,Pancrelipase
11688,Streptokinase
11689,Alemtuzumab
11690,Alglucerase
11691,Capromab
11692,Laronidase
11693,Cyclosporine
11694,Alefacept
11695,Felypressin
11696,Urofollitropin
11697,Efalizumab
11698,Serumalbumin
11699,Choriogonadotropinalfa
11700,Antithymocyteglobulin
11701,Filgrastim
11702,CoagulationFactorIX
11703,Becaplermin
11704,Agalsidasebeta
11705,Octreotide
11706,"InterferonAlfa-2b,Recombinant"
11707,Abarelix
11708,Oxytocin
11709,Natalizumab
11710,Enfuvirtide
11711,Palivizumab
11712,Daclizumab
11713,Bevacizumab
11714,Arcitumomab
11715,PyridoxalPhosphate
11716,Cyanocobalamin
11717,Tetrahydrofolicacid
11718,L-Histidine
11719,S-Adenosylmethionine
11720,Pyruvicacid
11721,L-Phenylalanine
11722,Biotin
11723,Choline
11724,L-Lysine
11725,L-Arginine
11726,VitaminC
11727,Spermine
11728,L-AsparticAcid
11729,L-Ornithine
11730,L-Glutamine
11731,Adenosinemonophosphate
11732,Alpha-LinolenicAcid
11733,L-Serine
11734,L-Methionine
11735,L-Tyrosine
11736,Calcitriol
11737,Xanthophyll
11738,L-Cystine
11739,Succinicacid
11740,Riboflavin
11741,N-Acetyl-D-glucosamine
11742,L-GlutamicAcid
11743,Glutathione
11744,Phosphatidylserine
11745,Glycine
11746,Calcidiol
11747,Pyridoxal
11748,Creatine
11749,L-Leucine
11750,L-Tryptophan
11751,L-Cysteine
11752,Thiamine
11753,Ergocalciferol
11754,gamma-Homolinolenicacid
11755,L-Citrulline
11756,L-Threonine
11757,NADH
11758,FolicAcid
11759,Icosapent
11760,L-Alanine
11761,L-Valine
11762,VitaminA
11763,VitaminE
11764,Pyridoxine
11765,LipoicAcid
11766,L-Isoleucine
11767,Aspartame
11768,Cholecalciferol
11769,Menadione
11770,Adenosinetriphosphate
11771,L-Proline
11772,Adenine
11773,L-Asparagine
11774,Pravastatin
11775,Fluvoxamine
11776,Valsartan
11777,Ramipril
11778,Masoprocol
11779,Flunisolide
11780,Baclofen
11781,Amphetamine
11782,Pentagastrin
11783,Nicotine
11784,Cevimeline
11785,Lorazepam
11786,Esmolol
11787,Bortezomib
11788,Ethchlorvynol
11789,Carbidopa
11790,Phentermine
11791,Indecainide
11792,Tramadol
11793,Vidarabine
11794,Betaxolol
11795,Fluconazole
11796,Troglitazone
11797,Oseltamivir
11798,Erythromycin
11799,Hydroxocobalamin
11800,Caffeine
11801,Succinylcholine
11802,Sildenafil
11803,Dofetilide
11804,Pyrimethamine
11805,Reserpine
11806,Azithromycin
11807,Ticlopidine
11808,Trospium
11809,Adapalene
11810,Midodrine
11811,Remikiren
11812,Pantoprazole
11813,Torasemide
11814,Citalopram
11815,Eletriptan
11816,Bethanidine
11817,Moxifloxacin
11818,Oxyphenonium
11819,Nelfinavir
11820,Isoetharine
11821,Glimepiride
11822,Diflorasone
11823,Indinavir
11824,Gadodiamide
11825,GuanadrelSulfate
11826,Lovastatin
11827,Enflurane
11828,Cefotiam
11829,Pregabalin
11830,Temazepam
11831,Methyclothiazide
11832,AminosalicylicAcid
11833,Reboxetine
11834,Milrinone
11835,Pipobroman
11836,Butabarbital
11837,Nevirapine
11838,Oxiconazole
11839,Alclometasone
11840,Butalbital
11841,Cladribine
11842,Ranolazine
11843,Mesalazine
11844,Benzatropine
11845,Ziprasidone
11846,Methysergide
11847,Cabergoline
11848,Idoxuridine
11849,Dapsone
11850,Terconazole
11851,Phenytoin
11852,Medrysone
11853,Doxycycline
11854,Diethylstilbestrol
11855,Lymecycline
11856,Clotrimazole
11857,CalciumAcetate
11858,Sulfanilamide
11859,Cycloserine
11860,Anagrelide
11861,Carmustine
11862,Sulfisoxazole
11863,Metoprolol
11864,Crotamiton
11865,Dicumarol
11866,Cefmenoxime
11867,Ropinirole
11868,Chlorotrianisene
11869,Isradipine
11870,Diatrizoate
11871,Betazole
11872,Topiramate
11873,Cefmetazole
11874,Olmesartan
11875,Amsacrine
11876,Theophylline
11877,Argatroban
11878,Liothyronine
11879,Disopyramide
11880,Lidocaine
11881,Pamidronate
11882,Clemastine
11883,Acarbose
11884,Venlafaxine
11885,ConjugatedEstrogens
11886,Travoprost
11887,Amcinonide
11888,Atomoxetine
11889,Bleomycin
11890,Chlorambucil
11891,Etomidate
11892,Raltitrexed
11893,Etonogestrel
11894,Morphine
11895,Ropivacaine
11896,Bupivacaine
11897,Dapiprazole
11898,Penciclovir
11899,Tenofovir
11900,Flucloxacillin
11901,TranexamicAcid
11902,Ertapenem
11903,Desogestrel
11904,Mitomycin
11905,Talbutal
11906,Bexarotene
11907,Ibutilide
11908,Vindesine
11909,Chlorthalidone
11910,Ethoxzolamide
11911,Pentobarbital
11912,ValproicAcid
11913,Capreomycin
11914,Zolmitriptan
11915,Acetaminophen
11916,Gefitinib
11917,Codeine
11918,Piperacillin
11919,Dihydroergotamine
11920,Amitriptyline
11921,Floxuridine
11922,Tolcapone
11923,Fluorometholone
11924,Nitroprusside
11925,CalciumGluceptate
11926,Hydromorphone
11927,Indomethacin
11928,Ethambutol
11929,Metformin
11930,Ipratropiumbromide
11931,Methadone
11932,Olanzapine
11933,Atenolol
11934,Nitrofurazone
11935,Pimecrolimus
11936,Omeprazole
11937,Pyrazinamide
11938,Metixene
11939,Cetirizine
11940,Terfenadine
11941,Diltiazem
11942,Protriptyline
11943,Aminohippurate
11944,Alfuzosin
11945,Trimethadione
11946,Nitisinone
11947,Clobazam
11948,Minoxidil
11949,Megestrol
11950,Thioguanine
11951,Methylergonovine
11952,Buclizine
11953,Aztreonam
11954,Chlorzoxazone
11955,Aminoglutethimide
11956,Mefloquine
11957,Sulfadiazine
11958,Tetrahydrobiopterin
11959,Vinorelbine
11960,Anidulafungin
11961,Clozapine
11962,Sucralfate
11963,Grepafloxacin
11964,Doxylamine
11965,Levonorgestrel
11966,Norepinephrine
11967,Cidofovir
11968,Mirtazapine
11969,Meprobamate
11970,Thiethylperazine
11971,Timolol
11972,Treprostinil
11973,Colestipol
11974,Trihexyphenidyl
11975,Palonosetron
11976,Dydrogesterone
11977,Mexiletine
11978,Dexrazoxane
11979,Amlodipine
11980,Tacrine
11981,Oxyphencyclimine
11982,Triamterene
11983,Valrubicin
11984,Alseroxylon
11985,Procyclidine
11986,Phenylephrine
11987,Carbimazole
11988,Digoxin
11989,Sulpiride
11990,Ethopropazine
11991,Nimodipine
11992,Beclometasonedipropionate
11993,Carisoprodol
11994,Progesterone
11995,Phenylpropanolamine
11996,Sorafenib
11997,Zoledronate
11998,Griseofulvin
11999,Nisoldipine
12000,Eszopiclone
12001,Ceruletide
12002,Alprazolam
12003,Dexbrompheniramine
12004,GentianViolet
12005,Ardeparin
12006,Loxapine
12007,Remoxipride
12008,Mupirocin
12009,Carbachol
12010,Rosiglitazone
12011,Pramipexole
12012,Acetohexamide
12013,Ampicillin
12014,MetocurineIodide
12015,PenicillinV
12016,Secobarbital
12017,Miglustat
12018,Promazine
12019,Spironolactone
12020,Methylphenidate
12021,Methocarbamol
12022,Hyoscyamine
12023,Zolpidem
12024,Famciclovir
12025,Triprolidine
12026,Streptozocin
12027,CarboprostTromethamine
12028,Cefpiramide
12029,Lindane
12030,Trifluridine
12031,Prochlorperazine
12032,Cyproheptadine
12033,NitricOxide
12034,Bendroflumethiazide
12035,Allopurinol
